Country Name,Country Code,Series Name,Series Code,1998 [YR1998],2000 [YR2000],2002 [YR2002],2004 [YR2004],2012 [YR2012],2014 [YR2014],2016 [YR2016],2018 [YR2018],2020 [YR2020],2021 [YR2021]
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,298948250000,284203750000,97724004251.8602,164657930452.787,545982375701.128,526319673731.638,557531376217.967,524819742918.669,389591035520.675,491492700657.012
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.85017885156228,-0.78899893905691,-10.8944848285903,9.02957330068152,-1.0264204544321,-2.51261532081394,-2.08032784377811,-2.61739646282038,-9.89526896368687,10.2637609278887
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,8289.5075682025,7708.09911454041,2593.404563368,4277.72157290954,13082.664325572,12334.7982453893,12790.2424732447,11795.1593866287,8585.69474249794,10729.2325777217
Argentina,ARG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Population, total",SP.POP.TOTL,36063451,36870796,37681743,38491970,41733271,42669500,43590368,44494502,45376763,45808747
Argentina,ARG,Surface area (sq. km),AG.SRF.TOTL.K2,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,..
Argentina,ARG,Imports of goods and services (current US$),NE.IMP.GNFS.CD,38667300000,33070146000,13065823829.1753,27736672323.6712,78013690406.706,73691675720.0984,75639125936.7673,85681285075.6362,52814226649.8628,74354518317.0563
Argentina,ARG,Exports of goods and services (current US$),NE.EXP.GNFS.CD,31137200000,31223690400,27736610298.2555,39266996605.7973,88655850853.7721,75818867911.0825,69842486095.8653,75766577038.619,64640230229.4327,89947580720.0073
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,399404463135.047,415576210513.094,395342716617.832,614166310997.297,1546508558465.66,1467504819608.92,1206685107002.47,1428529571351.06,1327836171068.51,1542659899992.54
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.61401157561838,3.91242773271188,4.01452665375521,4.20544688686265,3.91736246328504,2.56293152083389,2.74164306864724,2.87097248021668,-0.00383655856659004,1.47516288330458
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,21345.9709868552,21697.7084797731,20117.7888912664,30513.9417409748,68027.8417067378,62511.6905895284,49881.7637140466,57180.7794001614,51680.3165229438,59934.1294088895
Australia,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.860134629768157,4.45743514797225,2.98157453936349,2.34325522482587,1.76278015613193,2.48792270531403,1.27699094497328,1.91140094445692,0.846905537459293,2.86391042204995
Australia,AUS,"Population, total",SP.POP.TOTL,18711000,19153000,19651400,20127400,22733465,23475686,24190907,24982688,25693267,25739256
Australia,AUS,Surface area (sq. km),AG.SRF.TOTL.K2,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,..
Australia,AUS,Imports of goods and services (current US$),NE.IMP.GNFS.CD,81674014786.6784,89664636061.0438,82018627040.6028,121992459809.361,335171169313.26,313693197466.263,260015286067.841,307312611425.471,266306475398.847,275130233599.522
Australia,AUS,Exports of goods and services (current US$),NE.EXP.GNFS.CD,78166587533.0665,80697104816.9315,82035370447.8861,105490823730.26,332571664260.672,309598824933.444,232526568641.724,312415316642.121,318466282343.478,342195686245.242
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,863711007325.493,655448188259.351,509795270685.19,669289321944.516,2465228293894.01,2456043766028.73,1795693265810.23,1916933708381.89,1448565936739.56,1608981220812.2
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.338097901952338,4.38794944364869,3.05346185683619,5.75996463685998,1.92117598509462,0.503955740273241,-3.2759169063211,1.78366676137003,-3.87867633425788,4.61942162064217
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,5087.07907232375,3749.91084752888,2839.49150108966,3637.3138901512,12370.2232548476,12112.8349554875,8710.06328995352,9151.38173161536,6814.87563196772,7518.83428432838
Brazil,BRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.19507629280056,7.04414105947266,8.4501643770833,6.59718509985962,5.40349914037009,6.32904015516142,8.73914352329393,3.66485028376724,3.21176803803379,8.30165975585676
Brazil,BRA,"Population, total",SP.POP.TOTL,169785253,174790339,179537523,184006479,199287292,202763744,206163056,209469320,212559409,213993441
Brazil,BRA,Surface area (sq. km),AG.SRF.TOTL.K2,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,..
Brazil,BRA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,81258662213.1179,81614529580.3146,68250203697.4473,87894359743.7903,326315725182.595,335826235513.017,216686360910.918,272994437628.695,233152245260.656,306975064439.509
Brazil,BRA,Exports of goods and services (current US$),NE.EXP.GNFS.CD,60723205260.3554,66777376073.331,72546876208.0285,110739015046.921,292808453729.302,270458135221.802,223863316065.959,280543238540.699,243287640368.263,323361383967.42
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,1029043097558.91,1211346869600.41,1470550015077.93,1955347004965.69,8532229986993.65,10475682920597.7,11233276536744.7,13894817549380.3,14687673892882,17734062645371.4
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.84595178761953,8.49009340575191,9.13363078993316,10.1136213780461,7.86373644866194,7.42576365645755,6.84876220503246,6.74977383247717,2.2397018568489,8.10979258077933
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,828.580479299572,959.372483635864,1148.50829043887,1508.66809788453,6300.61511825789,7636.11660125502,8094.36336675194,9905.34200389253,10408.6697561349,12556.3331200058
China,CHN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.773186011549305,0.347811226864599,-0.731970902350276,3.82463743108159,2.61952432645544,1.92164162788521,2.00000182191941,2.07479039965578,2.4194218945778,0.981015135544851
China,CHN,"Population, total",SP.POP.TOTL,1241935000,1262645000,1280400000,1296075000,1354190000,1371860000,1387790000,1402760000,1411100000,1412360000
China,CHN,Surface area (sq. km),AG.SRF.TOTL.K2,9600000,9600000,9600000.2,9600000.5,9600000.9,9600006.3,9600010.5,9600012.9,9600012.9,..
China,CHN,Imports of goods and services (current US$),NE.IMP.GNFS.CD,144911954342.863,224308947695.207,295619639664.13,556182551589.986,1943215391727.26,2241288603086.24,1944484096049.36,2564105245752.72,2357105740841.64,3089622822933.79
China,CHN,Exports of goods and services (current US$),NE.EXP.GNFS.CD,188748114336.099,253095146997.004,333002310921.832,607356934129.132,2175080625683.19,2462839435101.08,2199967569433.37,2655591916233.37,2723250430718.18,3548552962009.61
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,1503108739159.44,1365639660792.16,1501409382971.38,2119633181634.37,2683671716967.19,2855964488590.19,2472964344587.17,2790956878746.66,2630317731455.26,2937472757953.44
France,FRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.58865942535427,3.92366922704063,1.13553148214601,2.82975292869891,0.313134751077172,0.956183052371557,1.09546440372048,1.86506607081999,-7.85525603703762,6.96357078755028
